time,actor,id,durationOrDestinationId
1373,T,458,-1
1373,T,458,2
1373,S,2,5
1377,T,459,-1
1377,T,459,1
1377,S,1,7
1379,T,460,-1
1379,T,460,2
1379,S,2,7
1384,T,461,-1
1384,T,461,1
1384,S,1,10
1385,T,462,-1
1385,T,462,3
1385,S,3,12
1388,T,463,-1
1388,T,463,0
1388,S,0,9
1391,T,464,-1
1391,T,464,2
1391,S,2,15
1393,T,465,-1
1393,T,465,4
1393,S,4,13
1397,T,466,-1
1397,T,466,3
1397,S,3,10
1399,T,467,-1
1399,T,467,1
1399,S,1,16
1403,T,468,-1
1403,T,468,0
1403,S,0,9
1404,T,469,-1
1404,T,469,3
1407,T,470,-1
1407,S,3,16
1407,T,470,2
1407,S,2,16
1410,T,471,-1
1410,T,471,4
1410,S,4,10
1412,T,472,-1
1412,T,472,0
1412,S,0,10
1416,T,473,-1
1416,T,473,1
1416,S,1,11
1417,T,474,-1
1417,T,474,0
1419,T,475,-1
1419,T,475,4
1420,T,476,-1
1420,S,4,5
1420,T,476,1
1421,T,477,-1
1421,T,477,3
1422,S,0,11
1423,S,3,5
1425,T,478,-1
1425,T,478,2
1425,S,2,14
1426,T,479,-1
1426,T,479,4
1426,S,4,8
1427,S,1,14
1429,T,480,-1
1429,T,480,3
1429,S,3,9
1430,T,481,-1
1430,T,481,3
1435,T,482,-1
1435,T,482,0
1435,S,0,14
1438,T,483,-1
1438,S,3,12
1438,T,483,4
1438,S,4,12
1443,T,484,-1
1443,T,484,2
1443,S,2,13
1447,T,485,-1
1447,T,485,1
1447,S,1,9
1451,T,486,-1
1451,T,486,3
1451,S,3,5
1452,T,487,-1
1452,T,487,0
1452,S,0,7
1454,T,488,-1
1454,T,488,4
1454,S,4,9
1457,T,489,-1
1457,T,489,2
1457,S,2,6
1460,T,490,-1
1460,T,490,1
1460,S,1,13
1462,T,491,-1
1462,T,491,3
1462,S,3,15
1465,T,492,-1
1465,T,492,0
1465,S,0,9
1470,T,493,-1
1470,T,493,2
1470,S,2,15
1474,T,494,-1
1474,T,494,0
1474,S,0,13
1477,T,495,-1
1477,T,495,3
1477,S,3,15
1482,T,496,-1
1482,T,496,1
1482,S,1,5
1487,T,497,-1
1487,T,497,0
1487,S,0,16
1492,T,498,-1
1492,T,498,3
1492,S,3,7
1497,T,499,-1
1497,T,499,2
1497,S,2,13
1500,T,500,-1
1500,T,500,3
1500,S,3,16
1503,T,501,-1
1503,T,501,0
1503,S,0,8
1508,T,502,-1
1508,T,502,1
1508,S,1,11
1511,T,503,-1
1511,T,503,2
1511,S,2,13
1516,T,504,-1
1516,T,504,0
1516,S,0,12
1519,T,505,-1
1519,T,505,1
1519,S,1,5
1522,T,506,-1
1522,T,506,3
1522,S,3,15
1523,T,507,-1
1523,T,507,4
1523,S,4,9
1528,T,508,-1
1528,T,508,1
1528,S,1,7
1530,T,509,-1
1530,T,509,2
1530,S,2,11
1535,T,510,-1
1535,T,510,0
1535,S,0,13
1539,T,511,-1
1539,T,511,1
1539,S,1,15
1542,T,512,-1
1542,T,512,2
1542,S,2,12
1543,T,513,-1
1543,T,513,3
1543,S,3,7
1545,T,514,-1
1545,T,514,4
1545,S,4,10
1546,T,515,-1
1546,T,515,2
1547,T,516,-1
1547,T,516,4
1551,T,517,-1
1551,T,517,3
1551,S,3,13
1554,S,2,7
1555,S,4,13
1556,T,518,-1
1556,T,518,0
1556,S,0,7
1561,T,519,-1
1561,T,519,1
1561,S,1,15
1562,T,520,-1
1562,T,520,2
1562,S,2,8
1563,T,521,-1
1563,T,521,0
1563,S,0,9
1564,T,522,-1
1564,T,522,3
1564,S,3,13
1566,T,523,-1
1566,T,523,2
1567,T,524,-1
1567,T,524,3
1570,T,525,-1
1570,S,2,5
1570,T,525,4
1570,S,4,15
1572,T,526,-1
1572,T,526,0
1572,S,0,9
1574,T,527,-1
1574,T,527,0
1576,T,528,-1
1576,T,528,2
