time,actor,id,durationOrDestinationId
742,T,243,-1
745,T,244,-1
746,T,243,0
746,S,0,9
746,T,244,2
746,S,2,12
748,T,245,-1
748,T,245,3
748,S,3,7
751,T,246,-1
751,T,246,1
751,S,1,13
754,T,247,-1
754,T,247,4
754,S,4,10
757,T,248,-1
757,T,248,3
757,S,3,7
762,T,249,-1
762,T,249,2
762,S,2,5
767,T,250,-1
767,T,250,0
767,S,0,14
768,T,251,-1
768,T,251,3
768,S,3,12
769,T,252,-1
769,T,252,1
769,S,1,10
774,T,253,-1
774,T,253,2
774,S,2,15
777,T,254,-1
777,T,254,4
777,S,4,11
779,T,255,-1
779,T,255,1
779,S,1,16
780,T,256,-1
780,T,256,3
780,S,3,9
782,T,257,-1
782,T,257,0
782,S,0,16
787,T,258,-1
788,T,258,4
788,S,4,16
790,T,259,-1
790,T,259,2
790,S,2,7
792,T,260,-1
792,T,260,3
792,S,3,8
796,T,261,-1
796,T,261,1
796,S,1,13
797,T,262,-1
797,T,262,2
797,S,2,7
802,T,263,-1
802,T,263,3
802,S,3,14
807,T,264,-1
807,T,264,0
807,S,0,6
811,T,265,-1
811,T,265,2
811,S,2,8
812,T,266,-1
812,T,266,1
812,S,1,5
815,T,267,-1
815,T,267,0
815,S,0,6
819,T,268,-1
819,T,268,2
819,S,2,9
820,T,269,-1
820,T,269,3
820,S,3,8
824,T,270,-1
824,T,270,1
824,S,1,11
825,T,271,-1
825,T,271,0
825,S,0,7
828,T,272,-1
828,T,272,2
828,S,2,15
832,T,273,-1
832,T,273,3
832,S,3,12
837,T,274,-1
837,T,274,0
837,S,0,8
840,T,275,-1
840,T,275,1
840,S,1,5
841,T,276,-1
841,T,276,4
841,S,4,5
844,T,277,-1
844,T,277,3
844,S,3,16
846,T,278,-1
846,T,278,2
846,S,2,13
851,T,279,-1
851,T,279,1
851,S,1,11
853,T,280,-1
853,T,280,0
853,S,0,9
856,T,281,-1
856,T,281,4
856,S,4,6
858,T,282,-1
859,T,282,2
859,S,2,8
860,T,283,-1
860,T,283,3
860,S,3,10
865,T,284,-1
865,T,284,1
865,S,1,9
869,T,285,-1
869,T,285,2
869,S,2,8
874,T,286,-1
874,T,286,0
874,S,0,13
879,T,287,-1
879,T,287,3
879,S,3,14
880,T,288,-1
880,T,288,1
880,S,1,13
885,T,289,-1
885,T,289,2
885,S,2,13
888,T,290,-1
888,T,290,0
888,S,0,13
891,T,291,-1
891,T,291,4
891,S,4,12
896,T,292,-1
896,T,292,1
896,S,1,9
898,T,293,-1
898,T,293,3
898,S,3,14
903,T,294,-1
903,T,294,0
903,S,0,10
907,T,295,-1
907,T,295,1
907,S,1,11
911,T,296,-1
911,T,296,2
911,S,2,8
912,T,297,-1
912,T,297,3
912,S,3,5
917,T,298,-1
917,T,298,3
917,S,3,7
918,T,299,-1
918,T,299,1
918,S,1,10
922,T,300,-1
922,T,300,2
922,S,2,5
927,T,301,-1
927,T,301,2
927,S,2,14
928,T,302,-1
928,T,302,1
928,S,1,11
930,T,303,-1
930,T,303,0
930,S,0,9
934,T,304,-1
934,T,304,3
934,S,3,15
938,T,305,-1
938,T,305,4
938,S,4,7
940,T,306,-1
940,T,306,0
940,S,0,13
942,T,307,-1
942,T,307,1
942,S,1,5
945,T,308,-1
945,T,308,2
945,S,2,5
948,T,309,-1
948,T,309,1
948,S,1,14
951,T,310,-1
951,T,310,3
951,S,3,8
954,T,311,-1
954,T,311,2
954,S,2,13
958,T,312,-1
958,T,312,0
958,S,0,16
963,T,313,-1
963,T,313,3
963,S,3,6
964,T,314,-1
964,T,314,1
964,S,1,10
966,T,315,-1
966,T,315,4
966,S,4,7
968,T,316,-1
968,T,316,2
968,S,2,14
970,T,317,-1
970,T,317,3
970,S,3,10
971,T,318,-1
973,T,318,4
973,S,4,6
976,T,319,-1
976,T,319,1
976,S,1,13
977,T,320,-1
977,T,320,0
977,S,0,8
981,T,321,-1
981,T,321,3
981,S,3,15
986,T,322,-1
986,T,322,0
986,S,0,9
990,T,323,-1
990,T,323,2
990,S,2,16
993,T,324,-1
993,T,324,1
993,S,1,6
994,T,325,-1
994,T,325,4
994,S,4,9
996,T,326,-1
996,T,326,3
996,S,3,6
999,T,327,-1
999,T,327,1
999,S,1,8
1001,T,328,-1
1001,T,328,0
1001,S,0,15
1002,T,329,-1
1002,T,329,3
1002,S,3,6
1005,T,330,-1
1005,T,330,4
1005,S,4,6
1008,T,331,-1
1008,T,331,1
1008,S,1,6
1009,T,332,-1
1009,T,332,3
1009,S,3,15
1012,T,333,-1
1012,T,333,2
1012,S,2,16
1015,T,334,-1
1015,T,334,1
1015,S,1,14
1016,T,335,-1
1016,T,335,0
1016,S,0,11
1018,T,336,-1
1018,T,336,4
1018,S,4,11
1022,T,337,-1
1024,T,337,3
1024,S,3,9
1027,T,338,-1
1027,T,338,0
1027,S,0,8
1029,T,339,-1
1029,T,339,1
1029,S,1,13
1034,T,340,-1
1034,T,340,3
1034,S,3,8
1035,T,341,-1
1035,T,341,0
1035,S,0,6
1037,T,342,-1
1037,T,342,2
1037,S,2,7
1038,T,343,-1
1038,T,343,4
1038,S,4,6
1041,T,344,-1
1041,T,344,0
1041,S,0,9
1045,T,345,-1
1045,T,345,3
1045,S,3,10
1050,T,346,-1
1050,T,346,2
1050,S,2,14
1055,T,347,-1
1055,T,347,1
1055,S,1,12
1056,T,348,-1
1056,T,348,3
1056,S,3,16
1058,T,349,-1
1058,T,349,0
1058,S,0,12
1063,T,350,-1
1063,T,350,4
1063,S,4,14
1067,T,351,-1
1067,T,351,2
1067,S,2,13
1071,T,352,-1
1071,T,352,1
1071,S,1,11
1075,T,353,-1
1075,T,353,0
1075,S,0,7
1078,T,354,-1
1078,T,354,3
1078,S,3,8
1083,T,355,-1
1083,T,355,2
1083,S,2,13
1087,T,356,-1
1087,T,356,1
1087,S,1,7
1088,T,357,-1
1088,T,357,0
1088,S,0,9
1090,T,358,-1
1090,T,358,3
1090,S,3,7
1094,T,359,-1
1094,T,359,1
1094,S,1,14
1096,T,360,-1
1096,T,360,2
1096,S,2,12
1097,T,361,-1
1097,T,361,3
1097,S,3,9
1102,T,362,-1
1102,T,362,0
1102,S,0,8
1104,T,363,-1
1104,T,363,4
1104,S,4,10
1106,T,364,-1
1106,T,364,3
1106,S,3,13
1111,T,365,-1
1111,T,365,2
1111,S,2,11
1112,T,366,-1
1112,T,366,0
1112,S,0,11
1115,T,367,-1
1115,T,367,1
1115,S,1,9
1116,T,368,-1
1116,T,368,4
1116,S,4,13
1119,T,369,-1
1119,T,369,3
1119,S,3,13
1124,T,370,-1
1124,T,370,1
1124,S,1,5
1125,T,371,-1
1125,T,371,2
1125,S,2,16
1129,T,372,-1
1129,T,372,1
1129,S,1,11
1134,T,373,-1
1134,T,373,3
1134,S,3,12
1137,T,374,-1
1137,T,374,0
1137,S,0,5
1138,T,375,-1
1138,T,375,4
1138,S,4,6
1140,T,376,-1
1140,T,376,1
1140,S,1,8
1142,T,377,-1
1142,T,377,2
1142,S,2,16
1144,T,378,-1
1144,T,378,0
1144,S,0,13
1145,T,379,-1
1145,T,379,4
1145,S,4,6
1149,T,380,-1
1149,T,380,3
1149,S,3,15
1151,T,381,-1
1151,T,381,1
1151,S,1,15
1153,T,382,-1
1153,T,382,4
1153,S,4,9
1156,T,383,-1
1157,T,383,0
1157,S,0,5
1159,T,384,-1
1159,T,384,2
1159,S,2,9
1161,T,385,-1
1162,T,385,0
1162,S,0,16
1163,T,386,-1
1163,T,386,4
1163,S,4,5
1164,T,387,-1
1164,T,387,3
1164,S,3,12
1165,T,388,-1
1166,T,388,1
1166,S,1,6
1167,T,389,-1
1168,T,389,2
1168,S,2,14
1171,T,390,-1
1171,T,390,4
