time,actor,id,durationOrDestinationId
847,T,280,-1
847,T,279,3
847,S,3,7
848,T,280,1
848,S,1,5
849,T,281,-1
852,T,282,-1
853,T,281,1
853,S,1,10
854,T,283,-1
854,T,282,3
854,S,3,10
858,T,284,-1
858,T,283,0
858,S,0,14
862,T,284,2
862,S,2,7
863,T,285,-1
863,T,285,1
863,S,1,9
865,T,286,-1
865,T,286,3
865,S,3,15
869,T,287,-1
869,T,287,2
869,S,2,10
873,T,288,-1
873,T,288,0
873,S,0,11
874,T,289,-1
874,T,289,1
874,S,1,14
875,T,290,-1
879,T,291,-1
879,T,290,2
879,S,2,7
880,T,291,3
880,S,3,15
882,T,292,-1
883,T,293,-1
884,T,292,0
884,S,0,13
886,T,294,-1
886,T,293,2
886,S,2,16
887,T,295,-1
888,T,294,1
888,S,1,10
890,T,296,-1
892,T,297,-1
894,T,298,-1
895,T,295,3
895,S,3,12
897,T,299,-1
897,T,296,0
897,S,0,6
898,T,297,1
898,S,1,16
902,T,300,-1
902,T,298,2
902,S,2,14
903,T,299,0
903,S,0,8
907,T,301,-1
907,T,300,3
907,S,3,9
910,T,302,-1
911,T,301,0
911,S,0,7
914,T,302,1
914,S,1,6
915,T,303,-1
916,T,303,3
916,S,3,14
918,T,304,-1
918,T,304,0
918,S,0,13
921,T,305,-1
921,T,305,2
921,S,2,15
923,T,306,-1
923,T,306,1
923,S,1,9
927,T,307,-1
930,T,307,3
930,S,3,9
931,T,308,-1
931,T,308,0
931,S,0,9
932,T,309,-1
932,T,309,1
932,S,1,6
935,T,310,-1
936,T,311,-1
936,T,310,2
936,S,2,7
938,T,311,1
938,S,1,12
941,T,312,-1
941,T,312,3
941,S,3,11
946,T,313,-1
946,T,313,2
946,S,2,15
950,T,314,-1
950,T,314,1
950,S,1,14
955,T,315,-1
955,T,315,0
955,S,0,16
957,T,316,-1
957,T,316,3
957,S,3,8
958,T,317,-1
960,T,318,-1
961,T,317,2
961,S,2,15
963,T,319,-1
964,T,318,1
964,S,1,11
965,T,319,3
965,S,3,5
967,T,320,-1
968,T,321,-1
970,T,320,3
970,S,3,15
971,T,322,-1
971,T,321,0
971,S,0,14
974,T,323,-1
975,T,322,1
975,S,1,13
976,T,323,2
976,S,2,12
979,T,324,-1
984,T,325,-1
985,T,326,-1
985,T,324,3
985,S,3,12
985,T,325,0
985,S,0,12
986,T,327,-1
988,T,326,1
988,S,1,10
988,T,327,2
988,S,2,11
991,T,328,-1
992,T,329,-1
995,T,330,-1
997,T,329,3
997,S,3,6
997,T,328,0
997,S,0,9
998,T,331,-1
998,T,330,1
998,S,1,5
999,T,331,2
999,S,2,14
1003,T,332,-1
1003,T,332,1
1003,S,1,9
1005,T,333,-1
1005,T,333,3
1005,S,3,11
1008,T,334,-1
1008,T,334,0
1008,S,0,11
1009,T,335,-1
1012,T,335,1
1012,S,1,16
1013,T,336,-1
1013,T,336,2
1013,S,2,10
1016,T,337,-1
1016,T,337,3
1016,S,3,12
1018,T,338,-1
1019,T,339,-1
1019,T,338,0
1019,S,0,10
1022,T,340,-1
1023,T,339,2
1023,S,2,10
1026,T,341,-1
1028,T,341,3
1028,S,3,5
1028,T,340,1
1028,S,1,9
1030,T,342,-1
1030,T,342,0
1030,S,0,8
1035,T,343,-1
1035,T,343,2
1035,S,2,6
1037,T,344,-1
1037,T,344,3
1037,S,3,9
1039,T,345,-1
1039,T,345,0
1039,S,0,12
1040,T,346,-1
1040,T,346,1
1040,S,1,12
1044,T,347,-1
1044,T,347,2
1044,S,2,11
1047,T,348,-1
1047,T,348,3
1047,S,3,5
1048,T,349,-1
